electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,6.48,1.728,4.32
4.32,6.48,1.728,4.32
4.32,4.32,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,1.728,4.32
4.32,1.728,4.32,4.32
6.48,1.728,6.48,6.48
6.48,1.728,6.48,6.48
4.32,1.728,6.48,4.32
1.728,1.728,4.32,1.728
1.728,1.728,4.32,1.728
1.728,4.32,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,6.48,4.32,1.728
1.728,4.32,4.32,1.728
1.728,4.32,4.32,1.728
4.32,4.32,4.32,4.32
6.48,4.32,6.48,6.48
6.48,4.32,6.48,6.48
6.48,4.32,4.32,6.48
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
4.32,4.32,1.728,4.32
